url;seitentyp;sprache;http_status;indexable;title;title_len;meta_description;desc_len;h1;canonical;canonical_self;robots;hreflang;structured_data;links_intern_eingehend;links_intern_ausgehend;bilder;bilder_ohne_alt;lcp_kandidat;rendering;woerter;search_intent;primaeres_thema;konflikt_kandidat;befunde
https://lexoffice-einzug.de/;startseite;de;unknown (statische Datei vorhanden);yes;Lexoffice Lastschrift einrichten: so funktioniert es;52;Sie nutzen Lexoffice und möchten Rechnungen per Lastschrift einziehen? Verständlich erklärt: Umbenennung in Lexware Office, Voraussetzungen, Einrichtung mit Stripe.;164;['Sie nutzen lexoffice und möchten Rechnungen per Lastschrift einziehen?'];https://lexoffice-einzug.de/;yes;(keine);(keine, einsprachig de);Organization|SoftwareApplication|WebSite;6;8;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;1407;commercial investigation;['Sie nutzen lexoffice und möchten Rechnungen per Lastschrift einziehen?'];siehe docs/seo/keyword-map.json;keine
https://lexoffice-einzug.de/404;fehlerseite;de;unknown (statische Datei vorhanden);no;Seite nicht gefunden | lexoffice-einzug.de;42;;0;['Hier gibt es nichts zu sehen, aber wir helfen weiter'];;no;noindex, follow;(keine, einsprachig de);;0;9;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;67;mixed;['Hier gibt es nichts zu sehen, aber wir helfen weiter'];siehe docs/seo/keyword-map.json;LOW:wenig Text
https://lexoffice-einzug.de/agb;rechtliches_kontakt;de;unknown (statische Datei vorhanden);yes;AGB | SmartEinzug;17;Allgemeine Geschäftsbedingungen von SmartEinzug: Leistungsumfang, Firmenaccount, Pflichten des Kunden, Preise, Laufzeit und Kündigung des Abonnements.;150;['Allgemeine Geschäftsbedingungen'];https://lexoffice-einzug.de/agb;yes;(keine);(keine, einsprachig de);BreadcrumbList|ListItem;5;8;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;552;mixed;['Allgemeine Geschäftsbedingungen'];siehe docs/seo/keyword-map.json;keine
https://lexoffice-einzug.de/datenschutz;rechtliches_kontakt;de;unknown (statische Datei vorhanden);yes;Datenschutz | lexoffice-einzug.de;33;Datenschutzerklärung von lexoffice-einzug.de: Hosting, Kundenkonto, Zwei-Faktor-Authentifizierung, Zahlungsabwicklung über Stripe und Reichweitenmessung ohne Cookie.;165;['Datenschutzerklärung'];https://lexoffice-einzug.de/datenschutz;yes;(keine);(keine, einsprachig de);BreadcrumbList|ListItem;11;7;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;912;mixed;['Datenschutzerklärung'];siehe docs/seo/keyword-map.json;keine
https://lexoffice-einzug.de/impressum;rechtliches_kontakt;de;unknown (statische Datei vorhanden);yes;Impressum | lexoffice-einzug.de;31;"Impressum von lexoffice-einzug.de, einem Service der DETM Management Consulting FZCO, mit Angaben zum Anbieter der Software SmartEinzug.>
<link rel=";149;['Impressum'];https://lexoffice-einzug.de/impressum;yes;(keine);(keine, einsprachig de);BreadcrumbList|ListItem;6;8;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;194;mixed;['Impressum'];siehe docs/seo/keyword-map.json;LOW:wenig Text
https://lexoffice-einzug.de/lexoffice-heisst-jetzt-lexware-office;keyword_landingpage;de;unknown (statische Datei vorhanden);yes;lexoffice heißt jetzt Lexware Office | SmartEinzug;50;lexoffice wurde in Lexware Office umbenannt. Gleiche Software, gleiches Konto: Was sich geändert hat und wo Sie die API-Einstellungen heute finden.;147;['lexoffice heißt jetzt Lexware Office'];https://lexoffice-einzug.de/lexoffice-heisst-jetzt-lexware-office;yes;(keine);(keine, einsprachig de);BreadcrumbList|ListItem;5;9;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;484;mixed;['lexoffice heißt jetzt Lexware Office'];siehe docs/seo/keyword-map.json;keine
https://lexoffice-einzug.de/lp/lastschrift-einrichten/;kampagnenseite;de;unknown (statische Datei vorhanden);no;Ihre lexoffice-Rechnungen einfach per Lastschrift einziehen;59;SmartEinzug verbindet Ihr lexoffice-Konto, heute Lexware Office, mit Ihrem eigenen Stripe-Konto: Rechnungen synchronisieren und per SEPA-Lastschrift einziehen.;159;['Ihre lexoffice-Rechnungen einfach per Lastschrift einziehen.'];https://lexoffice-einzug.de/lp/lastschrift-einrichten;no;noindex,follow;(keine, einsprachig de);Organization|SoftwareApplication;0;3;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;641;mixed;['Ihre lexoffice-Rechnungen einfach per Lastschrift einziehen.'];siehe docs/seo/keyword-map.json;keine
https://lexware-einzug.de/;startseite;de;unknown (statische Datei vorhanden);yes;SEPA-Lastschriften mit Lexware Office | lexware-einzug.de;57;SEPA-Einzug für Lexware Office: Lexware Office und Stripe verbinden, offene Rechnungen auswählen und Lastschriften auslösen. Unabhängige Software für Lexware Office.;165;['SEPA-Lastschriften mit Lexware Office: verbinden, auswählen, einziehen.'];https://lexware-einzug.de/;yes;(keine);(keine, einsprachig de);Organization|SoftwareApplication|WebSite;17;13;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;1511;commercial investigation;['SEPA-Lastschriften mit Lexware Office: verbinden, auswählen, einziehen.'];siehe docs/seo/keyword-map.json;keine
https://lexware-einzug.de/404;fehlerseite;de;unknown (statische Datei vorhanden);no;Seite nicht gefunden | lexware-einzug.de;40;;0;['Diese Seite gibt es nicht'];;no;noindex, follow;(keine, einsprachig de);;0;13;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;63;mixed;['Diese Seite gibt es nicht'];siehe docs/seo/keyword-map.json;LOW:wenig Text
https://lexware-einzug.de/agb;rechtliches_kontakt;de;unknown (statische Datei vorhanden);yes;AGB für die Nutzung von SmartEinzug | lexware-einzug.de;55;Vertragsbedingungen des Softwareanbieters Müller Holding AG für SmartEinzug: Gegenstand, Leistungsumfang, Abrechnung, Laufzeit, Kündigung und Verhältnis zu Stripe.;163;['Allgemeine Geschäftsbedingungen'];https://lexware-einzug.de/agb;yes;(keine);(keine, einsprachig de);BreadcrumbList|ListItem;12;11;0;0;Text (H1 im Hero) oder Kopfzeilenlogo;static HTML;589;mixed;['Allgemeine Geschäftsbedingungen'];siehe docs/seo/keyword-map.json;keine
